epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8644,0.89386,1.89572,0.88595,0.79289,0.61797,0.79943,0.62224,0.80974,1.15935,0.80684,0.000475014,0.000475014,0.000475014
2,102.017,0.86788,1.07345,0.85872,0.82114,0.72385,0.85971,0.62067,0.97985,0.94328,0.82156,0.000932511,0.000932511,0.000932511
3,149.228,0.86136,1.03421,0.86326,0.82504,0.74915,0.84713,0.65238,0.85184,1.06432,0.81069,0.00137114,0.00137114,0.00137114
4,196.555,0.83939,0.9209,0.85558,0.93013,0.78103,0.91215,0.71705,0.79568,0.76427,0.8036,0.00134412,0.00134412,0.00134412
5,243.896,0.83129,0.90133,0.85439,0.7825,0.73071,0.81841,0.63688,0.81941,1.00722,0.80602,0.00131582,0.00131582,0.00131582
6,291.804,0.8182,0.85959,0.85584,0.83646,0.77543,0.87338,0.69236,0.7729,1.15837,0.79903,0.00128753,0.00128753,0.00128753
7,339.067,0.80257,0.82758,0.84848,0.94612,0.86325,0.95499,0.74486,0.82814,0.64613,0.80288,0.00125923,0.00125923,0.00125923
8,386.289,0.80713,0.79162,0.84895,0.93921,0.82258,0.93588,0.75663,0.76315,0.67269,0.79593,0.00123094,0.00123094,0.00123094
9,433.822,0.7865,0.75864,0.8422,0.90336,0.84481,0.92525,0.72896,0.79128,0.76413,0.79859,0.00120265,0.00120265,0.00120265
10,481.087,0.78304,0.75075,0.83917,0.86915,0.87658,0.93276,0.76226,0.74674,0.76398,0.79394,0.00117435,0.00117435,0.00117435
11,528.636,0.77349,0.72557,0.84032,0.91057,0.90255,0.95057,0.76653,0.74329,0.61795,0.79467,0.00114606,0.00114606,0.00114606
12,576.578,0.76197,0.69047,0.83466,0.93707,0.85874,0.93481,0.76308,0.73306,0.66322,0.7943,0.00111776,0.00111776,0.00111776
13,623.991,0.76187,0.67812,0.8379,0.94816,0.88497,0.96203,0.78219,0.73834,0.58091,0.79278,0.00108947,0.00108947,0.00108947
14,671.247,0.74219,0.68776,0.83294,0.90269,0.85026,0.92172,0.74676,0.73695,0.67908,0.79241,0.00106118,0.00106118,0.00106118
15,718.478,0.73684,0.66054,0.83286,0.90611,0.84895,0.93149,0.76383,0.70459,0.65813,0.78849,0.00103288,0.00103288,0.00103288
16,765.65,0.73395,0.64794,0.83205,0.93961,0.82432,0.92888,0.75009,0.72578,0.65835,0.78864,0.00100459,0.00100459,0.00100459
