epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4724,1.09914,3.96062,0.91267,0.95086,0.14462,0.52636,0.36061,0.92991,2.97623,0.80915,0.000471099,0.000471099,0.000471099
2,48.1142,0.93908,2.10905,0.85901,0.7835,0.67217,0.79855,0.62167,0.82015,1.45007,0.80116,0.000928673,0.000928673,0.000928673
3,63.3851,0.91719,1.69904,0.85694,0.81199,0.68984,0.82814,0.60015,0.9511,1.159,0.81001,0.00136738,0.00136738,0.00136738
4,78.2894,0.88812,1.38437,0.84927,0.82964,0.69858,0.79271,0.61687,0.82234,1.11328,0.80242,0.00134412,0.00134412,0.00134412
5,93.4763,0.8578,1.21675,0.84582,0.84017,0.7284,0.84698,0.65284,0.83728,0.90972,0.80461,0.00131582,0.00131582,0.00131582
6,108.269,0.84989,1.05037,0.843,0.74977,0.72243,0.81031,0.62789,0.79116,1.12142,0.79648,0.00128753,0.00128753,0.00128753
7,123.103,0.82549,0.9728,0.84115,0.8592,0.73882,0.89263,0.70029,0.8172,0.91855,0.80025,0.00125923,0.00125923,0.00125923
8,137.851,0.81975,0.9356,0.84001,0.92115,0.8061,0.91153,0.72459,0.76838,0.75569,0.79551,0.00123094,0.00123094,0.00123094
9,152.676,0.80458,0.90246,0.83717,0.90313,0.79307,0.92257,0.73028,0.77172,0.77438,0.79383,0.00120265,0.00120265,0.00120265
10,167.588,0.79981,0.83951,0.83413,0.90803,0.8472,0.93016,0.74121,0.7638,0.69808,0.79474,0.00117435,0.00117435,0.00117435
11,182.323,0.80761,0.83169,0.83417,0.88774,0.81022,0.90108,0.72606,0.7572,0.74639,0.79552,0.00114606,0.00114606,0.00114606
12,197.245,0.78787,0.79265,0.83246,0.93821,0.77776,0.92002,0.73366,0.76617,0.73316,0.7906,0.00111776,0.00111776,0.00111776
13,212.324,0.78473,0.78592,0.83676,0.88116,0.8394,0.91746,0.73172,0.79804,0.71643,0.79219,0.00108947,0.00108947,0.00108947
14,227.335,0.77899,0.74716,0.83413,0.9328,0.83155,0.92983,0.76636,0.69398,0.67402,0.78902,0.00106118,0.00106118,0.00106118
15,242.77,0.76744,0.72597,0.83143,0.91502,0.81641,0.9306,0.7383,0.76165,0.71609,0.79392,0.00103288,0.00103288,0.00103288
16,257.6,0.76145,0.73467,0.82856,0.95183,0.87155,0.9362,0.7565,0.73449,0.66751,0.79021,0.00100459,0.00100459,0.00100459
17,272.498,0.76515,0.71607,0.82935,0.91611,0.80862,0.91931,0.746,0.71825,0.74245,0.79026,0.000976293,0.000976293,0.000976293
18,287.507,0.76368,0.70219,0.82733,0.87609,0.85272,0.92622,0.75204,0.72348,0.74997,0.78693,0.000947999,0.000947999,0.000947999
19,302.428,0.75182,0.68648,0.83062,0.89138,0.86709,0.92525,0.75339,0.71128,0.65547,0.79079,0.000919704,0.000919704,0.000919704
20,317.532,0.74888,0.69613,0.82309,0.91086,0.88367,0.94295,0.76531,0.72935,0.62278,0.79093,0.00089141,0.00089141,0.00089141
21,332.402,0.74951,0.67353,0.82424,0.94242,0.83436,0.93045,0.7429,0.75656,0.6735,0.79094,0.000863116,0.000863116,0.000863116
22,347.22,0.73194,0.66827,0.82409,0.91643,0.89673,0.95286,0.78441,0.68752,0.57419,0.78802,0.000834822,0.000834822,0.000834822
23,362.182,0.73712,0.65258,0.82518,0.93916,0.87288,0.93039,0.75931,0.70159,0.6247,0.78885,0.000806528,0.000806528,0.000806528
24,376.949,0.73102,0.64923,0.82579,0.93639,0.89961,0.94989,0.78502,0.70161,0.53847,0.78795,0.000778233,0.000778233,0.000778233
25,391.829,0.73382,0.63058,0.82119,0.93143,0.84161,0.93673,0.77073,0.71313,0.64937,0.78941,0.000749939,0.000749939,0.000749939
26,406.684,0.72566,0.64043,0.82141,0.90262,0.86864,0.92848,0.75937,0.68663,0.68284,0.79091,0.000721645,0.000721645,0.000721645
27,421.559,0.72888,0.63757,0.81978,0.91625,0.90247,0.94293,0.77609,0.68815,0.62174,0.7875,0.000693351,0.000693351,0.000693351
28,436.628,0.71698,0.61778,0.82073,0.91054,0.87409,0.93765,0.77159,0.70336,0.58766,0.78773,0.000665057,0.000665057,0.000665057
29,451.52,0.7253,0.61353,0.82156,0.95625,0.85087,0.95222,0.77725,0.70139,0.62953,0.78912,0.000636762,0.000636762,0.000636762
30,466.447,0.72733,0.61368,0.82067,0.91167,0.87822,0.94508,0.78187,0.67754,0.62385,0.78424,0.000608468,0.000608468,0.000608468
