epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8597,0.94493,3.16201,0.8968,0.72975,0.66486,0.76213,0.56217,0.9255,1.45736,0.82038,0.000471099,0.000471099,0.000471099
2,57.4372,0.84441,1.11478,0.85477,0.79107,0.75981,0.84457,0.64095,0.84685,0.93873,0.81282,0.000928673,0.000928673,0.000928673
3,78.6007,0.84857,0.99308,0.85643,0.87869,0.78871,0.89299,0.66965,0.86137,0.83087,0.80656,0.00136738,0.00136738,0.00136738
4,99.637,0.82949,0.91844,0.84596,0.78698,0.80063,0.86876,0.67684,0.83666,1.07617,0.79883,0.00134412,0.00134412,0.00134412
5,120.678,0.82465,0.87889,0.84706,0.87199,0.75343,0.89143,0.6742,0.87885,0.96894,0.81095,0.00131582,0.00131582,0.00131582
6,141.668,0.81102,0.80774,0.84438,0.80645,0.81871,0.90238,0.73373,0.73883,0.99815,0.78895,0.00128753,0.00128753,0.00128753
7,162.602,0.79516,0.79305,0.84278,0.87859,0.84775,0.92266,0.71124,0.84326,0.75607,0.80199,0.00125923,0.00125923,0.00125923
8,183.564,0.78307,0.78451,0.83873,0.85332,0.73634,0.88551,0.67642,0.86926,1.06295,0.7998,0.00123094,0.00123094,0.00123094
9,204.547,0.77989,0.75396,0.83579,0.89496,0.84367,0.91622,0.72089,0.797,0.85497,0.79483,0.00120265,0.00120265,0.00120265
10,225.483,0.77464,0.73379,0.83388,0.93692,0.88858,0.94108,0.74124,0.80734,0.63063,0.79937,0.00117435,0.00117435,0.00117435
11,246.984,0.77228,0.72323,0.83317,0.88631,0.88408,0.94214,0.75554,0.75436,0.65585,0.79108,0.00114606,0.00114606,0.00114606
12,268.45,0.74226,0.68977,0.82984,0.93205,0.85795,0.93862,0.75221,0.76213,0.68514,0.79407,0.00111776,0.00111776,0.00111776
13,291.259,0.75937,0.68487,0.83676,0.90114,0.8729,0.94362,0.76189,0.74598,0.65491,0.78947,0.00108947,0.00108947,0.00108947
14,313.972,0.73502,0.65677,0.83073,0.93991,0.87406,0.94543,0.78765,0.68251,0.5955,0.78847,0.00106118,0.00106118,0.00106118
15,336.594,0.72404,0.64109,0.82975,0.91298,0.87747,0.94659,0.76545,0.73859,0.61914,0.7916,0.00103288,0.00103288,0.00103288
16,358.036,0.72962,0.64076,0.82795,0.90522,0.87237,0.92627,0.74783,0.71454,0.78102,0.78982,0.00100459,0.00100459,0.00100459
17,379.524,0.71991,0.63043,0.82518,0.93106,0.88771,0.95882,0.78526,0.70509,0.56357,0.78751,0.000976293,0.000976293,0.000976293
18,402.231,0.72458,0.61319,0.82492,0.93614,0.88643,0.94198,0.77334,0.71083,0.59085,0.78829,0.000947999,0.000947999,0.000947999
19,425.896,0.71381,0.59313,0.8287,0.93248,0.86654,0.94871,0.77342,0.70752,0.67352,0.79108,0.000919704,0.000919704,0.000919704
20,449.152,0.71403,0.6087,0.82083,0.93833,0.88501,0.95966,0.79479,0.68873,0.58216,0.78596,0.00089141,0.00089141,0.00089141
21,472.334,0.70662,0.58307,0.82148,0.9605,0.84027,0.95532,0.77438,0.73135,0.61065,0.78972,0.000863116,0.000863116,0.000863116
22,496.129,0.7008,0.59008,0.82293,0.94329,0.89779,0.96487,0.77714,0.73899,0.53425,0.7879,0.000834822,0.000834822,0.000834822
23,519.557,0.705,0.57415,0.82368,0.94616,0.90736,0.95401,0.7787,0.72304,0.53735,0.7876,0.000806528,0.000806528,0.000806528
