epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6359,0.93493,2.27837,0.90469,0.64192,0.75226,0.77898,0.58768,0.87971,1.23127,0.81845,0.000473702,0.000473702,0.000473702
2,61.2763,0.86548,1.23356,0.86896,0.57354,0.66049,0.63633,0.46718,0.94977,5.27104,0.83015,0.000931224,0.000931224,0.000931224
3,87.461,0.88758,1.21915,0.86739,0.74986,0.69725,0.80899,0.63817,0.78439,1.08351,0.79929,0.00136988,0.00136988,0.00136988
4,113.166,0.89309,1.02427,0.87199,0.81617,0.79046,0.88521,0.69482,0.82983,0.89497,0.80717,0.00134412,0.00134412,0.00134412
5,138.696,0.84019,0.9023,0.85734,0.86877,0.62261,0.7366,0.58569,0.77503,1.95418,0.80152,0.00131582,0.00131582,0.00131582
6,164.699,0.80977,0.87052,0.85474,0.82644,0.82488,0.89343,0.69699,0.83173,1.05172,0.81049,0.00128753,0.00128753,0.00128753
7,189.95,0.79787,0.80967,0.85399,0.79208,0.81348,0.87455,0.69424,0.77016,1.22003,0.80215,0.00125923,0.00125923,0.00125923
8,215.603,0.79092,0.78983,0.84716,0.87096,0.77611,0.88939,0.69593,0.78679,0.86614,0.7976,0.00123094,0.00123094,0.00123094
9,241.445,0.7879,0.77822,0.84336,0.86313,0.81014,0.89703,0.71472,0.74265,0.7869,0.80034,0.00120265,0.00120265,0.00120265
10,269.158,0.7748,0.75642,0.85205,0.84561,0.80274,0.8766,0.70647,0.72145,0.78399,0.79272,0.00117435,0.00117435,0.00117435
11,294.999,0.7595,0.72535,0.84496,0.91441,0.84028,0.93104,0.72875,0.77966,0.67617,0.80343,0.00114606,0.00114606,0.00114606
12,320.686,0.74242,0.72152,0.83661,0.86054,0.83007,0.90137,0.7325,0.70358,0.73522,0.79251,0.00111776,0.00111776,0.00111776
13,345.591,0.74226,0.72719,0.84309,0.82663,0.81922,0.87985,0.71157,0.70847,0.84375,0.79113,0.00108947,0.00108947,0.00108947
14,370.288,0.7392,0.68456,0.83447,0.92156,0.8779,0.95088,0.7737,0.71433,0.6093,0.79205,0.00106118,0.00106118,0.00106118
15,395.221,0.74362,0.65196,0.83911,0.86085,0.82612,0.90781,0.73059,0.76238,0.74465,0.8018,0.00103288,0.00103288,0.00103288
16,420.187,0.71962,0.68577,0.83188,0.81638,0.81432,0.86699,0.70173,0.72809,1.08385,0.79458,0.00100459,0.00100459,0.00100459
17,445.108,0.71391,0.65731,0.82274,0.86143,0.815,0.88885,0.71614,0.72538,0.81785,0.79206,0.000976293,0.000976293,0.000976293
18,469.961,0.71213,0.65316,0.83346,0.93005,0.82753,0.93182,0.75303,0.71105,0.69099,0.79402,0.000947999,0.000947999,0.000947999
19,494.788,0.72023,0.65346,0.82542,0.86798,0.81332,0.90185,0.73918,0.70742,1.01585,0.79352,0.000919704,0.000919704,0.000919704
20,520.221,0.71602,0.6372,0.82995,0.91841,0.8729,0.94893,0.76136,0.73091,0.66532,0.79336,0.00089141,0.00089141,0.00089141
