epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8138,1.87108,5.08209,1.02609,0.00227,0.11711,0.00232,0.00091,1.6239,4.22871,0.83821,0.000465978,0.000465978,0.000465978
2,37.0688,1.43997,2.86938,0.88361,0.00677,0.4951,0.14153,0.06221,1.3825,3.43586,0.80217,0.000923654,0.000923654,0.000923654
3,46.5726,1.35186,2.3158,0.85652,0.68317,0.39687,0.43199,0.23652,1.5595,2.79342,0.81034,0.00136247,0.00136247,0.00136247
4,55.1023,1.29734,1.99457,0.85169,0.38451,0.42187,0.51981,0.33753,1.24457,2.05931,0.79039,0.00134412,0.00134412,0.00134412
5,65.4862,1.24557,1.73577,0.85077,0.45522,0.52264,0.53438,0.35676,1.20541,1.96647,0.79302,0.00131582,0.00131582,0.00131582
6,75.9493,1.14779,1.62173,0.84181,0.51144,0.72535,0.64866,0.41701,1.24022,1.48132,0.7937,0.00128753,0.00128753,0.00128753
7,85.2852,1.15443,1.48686,0.8357,0.54772,0.72609,0.68589,0.46883,1.15552,1.84417,0.78703,0.00125923,0.00125923,0.00125923
8,95.6206,1.11789,1.34829,0.83331,0.59058,0.6483,0.6868,0.47095,1.15224,1.32541,0.78321,0.00123094,0.00123094,0.00123094
9,105.988,1.08742,1.2645,0.82881,0.64755,0.59622,0.6592,0.45576,1.15054,1.38286,0.78619,0.00120265,0.00120265,0.00120265
10,115.79,1.11204,1.25456,0.83008,0.55925,0.6474,0.66946,0.46543,1.11916,1.35333,0.78341,0.00117435,0.00117435,0.00117435
11,124.972,1.0729,1.15873,0.82415,0.61554,0.69246,0.73,0.49294,1.18034,1.64434,0.79107,0.00114606,0.00114606,0.00114606
12,135.336,1.02636,1.07431,0.82127,0.69854,0.64776,0.73342,0.52467,1.04869,1.1424,0.78149,0.00111776,0.00111776,0.00111776
13,144.797,1.03084,1.073,0.83118,0.64478,0.74912,0.76424,0.53477,1.08131,1.22237,0.78262,0.00108947,0.00108947,0.00108947
14,154.891,1.00766,1.04127,0.81849,0.62632,0.64043,0.68637,0.48419,1.03917,1.41257,0.78329,0.00106118,0.00106118,0.00106118
15,163.844,1.02757,1.03393,0.82195,0.80485,0.62165,0.76467,0.55789,1.0274,1.12651,0.77957,0.00103288,0.00103288,0.00103288
16,174.29,0.98757,0.96893,0.81941,0.76547,0.76022,0.81023,0.60186,0.98014,0.95131,0.78063,0.00100459,0.00100459,0.00100459
17,184.564,1.02956,0.99963,0.82183,0.68978,0.69108,0.78594,0.56874,1.00486,1.20901,0.78105,0.000976293,0.000976293,0.000976293
18,194.274,1.01652,0.97264,0.82195,0.61794,0.70466,0.75858,0.54993,0.99384,1.33661,0.78099,0.000947999,0.000947999,0.000947999
19,202.956,0.96274,0.93245,0.815,0.8216,0.73264,0.82343,0.59553,0.99216,0.95333,0.77906,0.000919704,0.000919704,0.000919704
20,212.247,0.95125,0.91822,0.81332,0.70309,0.78533,0.79638,0.59688,0.93408,1.04344,0.77668,0.00089141,0.00089141,0.00089141
21,221.537,0.96886,0.91283,0.81501,0.79152,0.78294,0.84559,0.6361,0.92615,0.91276,0.77528,0.000863116,0.000863116,0.000863116
22,231.005,0.93497,0.88401,0.81231,0.81071,0.81219,0.86443,0.60472,1.09291,0.8575,0.78103,0.000834822,0.000834822,0.000834822
23,241.07,0.9437,0.86595,0.81115,0.80575,0.78306,0.85566,0.62836,1.00905,0.95413,0.77874,0.000806528,0.000806528,0.000806528
24,250.953,0.94946,0.85666,0.81181,0.75815,0.74804,0.82607,0.60584,0.98173,1.04601,0.77502,0.000778233,0.000778233,0.000778233
25,260.912,0.91957,0.82659,0.81755,0.86762,0.7812,0.86775,0.65695,0.91962,0.98131,0.776,0.000749939,0.000749939,0.000749939
26,269.958,0.96782,0.83793,0.81863,0.77432,0.75193,0.81978,0.58702,1.03806,1.1011,0.77896,0.000721645,0.000721645,0.000721645
27,280.121,0.92869,0.8285,0.81606,0.81661,0.77867,0.8553,0.64343,0.93817,0.9982,0.77707,0.000693351,0.000693351,0.000693351
28,289.261,0.87887,0.81162,0.80945,0.80289,0.77398,0.84108,0.63191,0.93515,0.91086,0.77678,0.000665057,0.000665057,0.000665057
29,299.009,0.92181,0.81974,0.80867,0.81827,0.72639,0.84239,0.64013,0.93539,0.95206,0.77505,0.000636762,0.000636762,0.000636762
30,307.238,0.89552,0.80026,0.80651,0.79363,0.7537,0.85394,0.63866,0.96867,0.92071,0.77896,0.000608468,0.000608468,0.000608468
