epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7574,1.51056,5.04607,0.96742,0.52282,0.46927,0.39304,0.26897,1.24637,2.64281,0.80782,0.000465978,0.000465978,0.000465978
2,37.0019,1.1689,1.52805,0.85269,0.38455,0.33408,0.34979,0.22159,1.32852,2.07893,0.8023,0.000923654,0.000923654,0.000923654
3,46.8774,1.16654,1.29747,0.83928,0.46801,0.48887,0.48495,0.28892,1.50157,2.06707,0.82265,0.00136247,0.00136247,0.00136247
4,56.4302,1.12808,1.20049,0.83516,0.6428,0.6006,0.64305,0.4401,1.12646,1.65532,0.78354,0.00134412,0.00134412,0.00134412
5,65.6189,1.06346,1.0849,0.83343,0.65405,0.6858,0.68921,0.44122,1.20231,1.44546,0.7969,0.00131582,0.00131582,0.00131582
6,75.871,1.06984,1.10756,0.83511,0.58642,0.62712,0.61203,0.42259,1.1562,1.62999,0.78514,0.00128753,0.00128753,0.00128753
7,85.5476,1.03498,0.99924,0.82671,0.64356,0.66089,0.67542,0.47981,1.07157,2.09034,0.77907,0.00125923,0.00125923,0.00125923
8,95.7859,0.99164,0.95502,0.82156,0.65482,0.64229,0.67145,0.49023,1.03106,1.74393,0.7757,0.00123094,0.00123094,0.00123094
9,106.137,0.9841,0.9045,0.82018,0.59522,0.71537,0.69733,0.48997,1.09739,1.47744,0.78065,0.00120265,0.00120265,0.00120265
10,115.826,0.99174,0.90851,0.81897,0.59782,0.64382,0.70295,0.48774,1.15267,1.5205,0.78436,0.00117435,0.00117435,0.00117435
11,126.613,0.96294,0.89009,0.8144,0.69329,0.65879,0.72069,0.51591,1.0225,1.47949,0.78239,0.00114606,0.00114606,0.00114606
12,136.367,0.935,0.83217,0.81302,0.76259,0.67627,0.75786,0.55243,0.97451,1.48809,0.77446,0.00111776,0.00111776,0.00111776
13,145.881,0.93237,0.82764,0.82177,0.77335,0.69134,0.77598,0.52766,1.09722,1.02352,0.7868,0.00108947,0.00108947,0.00108947
14,156.22,0.91534,0.84435,0.8105,0.58691,0.71549,0.71297,0.53085,0.95437,1.71898,0.77292,0.00106118,0.00106118,0.00106118
15,166.376,0.93118,0.81001,0.81243,0.79385,0.77514,0.81941,0.60933,0.95048,0.90921,0.77445,0.00103288,0.00103288,0.00103288
16,176.735,0.89312,0.78562,0.81043,0.76999,0.74086,0.83089,0.62038,0.94056,1.10794,0.77395,0.00100459,0.00100459,0.00100459
17,186.012,0.92847,0.7801,0.81276,0.66908,0.73737,0.75993,0.58676,0.86154,1.11648,0.77081,0.000976293,0.000976293,0.000976293
18,196.061,0.90985,0.77058,0.81059,0.62716,0.73831,0.74841,0.5633,0.94019,1.43607,0.77613,0.000947999,0.000947999,0.000947999
19,207.028,0.86671,0.73553,0.80838,0.73322,0.70857,0.76828,0.59101,0.85832,1.03328,0.77355,0.000919704,0.000919704,0.000919704
20,217.029,0.84925,0.73963,0.80408,0.81526,0.7714,0.84673,0.63158,0.94983,0.96576,0.77559,0.00089141,0.00089141,0.00089141
21,226.516,0.8714,0.7352,0.80732,0.7586,0.7994,0.83753,0.62582,0.90184,0.86686,0.76889,0.000863116,0.000863116,0.000863116
22,236.218,0.8449,0.70897,0.80545,0.77476,0.76001,0.8252,0.62917,0.86701,1.00415,0.77235,0.000834822,0.000834822,0.000834822
23,246.282,0.84286,0.72277,0.80159,0.71054,0.70395,0.78432,0.59513,0.91407,0.99334,0.77429,0.000806528,0.000806528,0.000806528
