epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.426,1.3099,4.07431,0.91745,0,0,0,0,nan,nan,nan,0.000465978,0.000465978,0.000465978
2,45.3449,1.22551,1.61673,0.86576,0.135,0.07755,0.04762,0.02633,nan,nan,nan,0.000923654,0.000923654,0.000923654
3,59.847,1.3358,1.61629,0.8692,0,0,0,0,nan,nan,nan,0.00136247,0.00136247,0.00136247
4,74.1419,1.24902,1.43066,0.858,0.14969,0.25129,0.12296,0.07904,1.78055,inf,0.87354,0.00134412,0.00134412,0.00134412
5,88.7703,1.12545,1.2604,0.84814,0.73294,0.49566,0.64148,0.37357,1.40644,1.51416,0.81172,0.00131582,0.00131582,0.00131582
6,103.208,1.11151,1.15445,0.84504,0.2633,0.55331,0.35888,0.23498,1.22751,11.0344,0.80687,0.00128753,0.00128753,0.00128753
7,117.545,1.05823,1.03948,0.83607,0.66984,0.60364,0.67687,0.45838,1.14107,1.883,0.7896,0.00125923,0.00125923,0.00125923
8,132.021,1.00999,1.01317,0.82943,0.50433,0.62696,0.58637,0.39389,1.22972,2.11303,0.79514,0.00123094,0.00123094,0.00123094
9,146.531,0.99886,0.95685,0.82449,0.55949,0.45362,0.58752,0.42679,1.03045,2.44178,0.78325,0.00120265,0.00120265,0.00120265
10,160.904,0.98719,0.9781,0.8244,0.63114,0.65546,0.71108,0.49423,1.06219,2.70466,0.77447,0.00117435,0.00117435,0.00117435
11,176.167,0.97796,0.96115,0.81808,0.57184,0.58005,0.62609,0.46475,1.02662,1.60139,0.77475,0.00114606,0.00114606,0.00114606
12,191.294,0.95453,0.88475,0.81889,0.8641,0.77975,0.8745,0.62043,1.04512,0.88794,0.77903,0.00111776,0.00111776,0.00111776
13,205.875,0.93263,0.86698,0.8257,0.53748,0.69472,0.63326,0.4696,0.98802,3.09573,0.77465,0.00108947,0.00108947,0.00108947
14,220.21,0.89506,0.84287,0.8127,0.67324,0.70896,0.75414,0.57941,0.8899,1.6457,0.77281,0.00106118,0.00106118,0.00106118
15,234.631,0.91861,0.81412,0.81389,0.69388,0.72588,0.74656,0.55481,0.98906,1.10147,0.7741,0.00103288,0.00103288,0.00103288
16,249.101,0.90071,0.81409,0.81799,0.66144,0.74914,0.79286,0.59443,0.93839,1.08921,0.7756,0.00100459,0.00100459,0.00100459
17,263.643,0.89953,0.80396,0.81484,0.70154,0.67099,0.72799,0.53917,1.02392,2.18099,0.78134,0.000976293,0.000976293,0.000976293
18,278.089,0.88993,0.81556,0.81238,0.63588,0.68708,0.72019,0.55073,0.90611,2.00626,0.76845,0.000947999,0.000947999,0.000947999
19,292.946,0.86485,0.77796,0.80955,0.66652,0.7104,0.74218,0.55504,0.91847,1.39518,0.77488,0.000919704,0.000919704,0.000919704
20,308.131,0.85152,0.75891,0.80709,0.86694,0.82312,0.89443,0.68457,0.88346,0.95884,0.76909,0.00089141,0.00089141,0.00089141
21,323.223,0.86416,0.73932,0.80936,0.88378,0.77646,0.89523,0.69822,0.8518,0.82871,0.76964,0.000863116,0.000863116,0.000863116
22,338.555,0.83013,0.73818,0.80571,0.76288,0.76787,0.81078,0.61964,0.89136,1.1289,0.77522,0.000834822,0.000834822,0.000834822
23,353.894,0.83024,0.73025,0.8031,0.84887,0.75792,0.86583,0.65843,0.93118,0.86848,0.77147,0.000806528,0.000806528,0.000806528
24,368.645,0.8364,0.71188,0.80483,0.7332,0.72008,0.78828,0.60489,0.86679,1.12878,0.77228,0.000778233,0.000778233,0.000778233
25,383.217,0.82605,0.713,0.81196,0.87714,0.79796,0.91318,0.7118,0.83645,0.83239,0.76859,0.000749939,0.000749939,0.000749939
26,397.907,0.81857,0.69098,0.80748,0.75629,0.81958,0.84839,0.66245,0.8349,0.93097,0.76715,0.000721645,0.000721645,0.000721645
27,412.776,0.80281,0.6862,0.80712,0.82694,0.8026,0.88967,0.68501,0.88423,1.00313,0.76942,0.000693351,0.000693351,0.000693351
28,427.296,0.7803,0.67411,0.8022,0.86601,0.7804,0.87868,0.68261,0.82081,0.80538,0.77051,0.000665057,0.000665057,0.000665057
29,442.489,0.78279,0.64227,0.79872,0.80566,0.82348,0.88502,0.68495,0.83861,0.84339,0.77,0.000636762,0.000636762,0.000636762
30,456.936,0.78763,0.65325,0.79896,0.82908,0.7569,0.86373,0.67361,0.80815,1.06073,0.76904,0.000608468,0.000608468,0.000608468
31,471.557,0.77661,0.64582,0.79859,0.84552,0.75207,0.86644,0.67177,0.8444,0.91012,0.77014,0.000580174,0.000580174,0.000580174
32,486.138,0.74945,0.63206,0.79902,0.88142,0.80952,0.89385,0.70566,0.78569,0.78684,0.76596,0.00055188,0.00055188,0.00055188
33,500.739,0.75898,0.63467,0.79831,0.9068,0.85397,0.92262,0.73374,0.76807,0.74133,0.76651,0.000523586,0.000523586,0.000523586
34,515.316,0.75438,0.62217,0.79806,0.83182,0.81407,0.88611,0.68637,0.81381,0.90407,0.77019,0.000495291,0.000495291,0.000495291
35,529.953,0.75355,0.62172,0.80227,0.85001,0.81606,0.90406,0.71418,0.79084,0.87761,0.76869,0.000466997,0.000466997,0.000466997
36,544.648,0.7441,0.61838,0.80104,0.84402,0.81488,0.89294,0.70765,0.79285,0.75186,0.76635,0.000438703,0.000438703,0.000438703
37,559.456,0.74798,0.60145,0.8014,0.89579,0.81395,0.90698,0.7238,0.76898,0.75585,0.76473,0.000410409,0.000410409,0.000410409
38,573.848,0.74417,0.59681,0.7979,0.88688,0.81714,0.90058,0.6963,0.83336,0.80169,0.76737,0.000382115,0.000382115,0.000382115
39,588.772,0.73318,0.57106,0.79584,0.89096,0.87325,0.92804,0.72219,0.79777,0.73353,0.76649,0.00035382,0.00035382,0.00035382
40,603.836,0.73766,0.56754,0.79692,0.86121,0.79795,0.87652,0.68456,0.79907,0.83935,0.77045,0.000325526,0.000325526,0.000325526
41,637.125,0.67885,0.52285,0.79573,0.92281,0.86299,0.94005,0.74068,0.76745,0.60671,0.76626,0.000297232,0.000297232,0.000297232
42,651.964,0.67976,0.51641,0.79316,0.87812,0.85707,0.92575,0.73391,0.74545,0.69863,0.76644,0.000268938,0.000268938,0.000268938
43,666.93,0.67458,0.52112,0.79235,0.83795,0.79381,0.88824,0.70603,0.76357,0.8546,0.77013,0.000240644,0.000240644,0.000240644
44,681.627,0.66033,0.51606,0.79156,0.87122,0.85459,0.91573,0.72937,0.76653,0.64705,0.76561,0.000212349,0.000212349,0.000212349
45,697.695,0.65951,0.50045,0.7909,0.94899,0.83284,0.93774,0.74235,0.79778,0.60862,0.76894,0.000184055,0.000184055,0.000184055
46,713.02,0.66174,0.48916,0.79515,0.95453,0.82249,0.92862,0.74262,0.75612,0.62887,0.76398,0.000155761,0.000155761,0.000155761
47,728.189,0.64471,0.47295,0.78748,0.92279,0.87881,0.94379,0.76341,0.73351,0.55936,0.76501,0.000127467,0.000127467,0.000127467
48,743.264,0.63811,0.46612,0.79489,0.85551,0.87072,0.92337,0.73763,0.76188,0.62059,0.7664,9.91726e-05,9.91726e-05,9.91726e-05
49,758.557,0.63757,0.45181,0.7958,0.91537,0.85414,0.93285,0.75558,0.72614,0.59886,0.76572,7.08784e-05,7.08784e-05,7.08784e-05
50,773.677,0.62675,0.45381,0.789,0.88283,0.88471,0.93155,0.75279,0.72849,0.59898,0.76607,4.25842e-05,4.25842e-05,4.25842e-05
