epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8604,1.37079,3.77597,0.93503,0.48039,0.55302,0.50129,0.31114,1.22888,1.85081,0.8028,0.000465978,0.000465978,0.000465978
2,36.2036,1.10494,1.4231,0.84451,0.62861,0.65768,0.63914,0.40968,1.22221,2.1153,0.79162,0.000923654,0.000923654,0.000923654
3,46.8545,1.1,1.19899,0.83031,0.69617,0.65925,0.72254,0.49649,1.15964,2.76819,0.78336,0.00136247,0.00136247,0.00136247
4,57.2165,1.09018,1.07014,0.83173,0.55586,0.56688,0.63246,0.43183,1.10544,1.94376,0.78614,0.00134412,0.00134412,0.00134412
5,67.514,1.06753,1.01768,0.83491,0.51344,0.58496,0.63901,0.43873,1.16203,2.75223,0.78939,0.00131582,0.00131582,0.00131582
6,78.1861,0.99966,1.02345,0.82682,0.66492,0.673,0.70217,0.49047,1.04917,1.72955,0.78136,0.00128753,0.00128753,0.00128753
7,88.5867,0.97012,0.93586,0.81918,0.73724,0.66584,0.76354,0.55634,1.01662,2.19794,0.7755,0.00125923,0.00125923,0.00125923
8,98.9414,1.00326,0.94221,0.82228,0.64253,0.62473,0.67792,0.5075,0.98189,1.50824,0.77211,0.00123094,0.00123094,0.00123094
9,109.375,0.90963,0.85306,0.81341,0.52642,0.59744,0.59484,0.4391,1.02183,3.66632,0.77607,0.00120265,0.00120265,0.00120265
10,119.966,0.93847,0.86045,0.81428,0.51706,0.64717,0.64212,0.48256,0.9785,2.31545,0.7739,0.00117435,0.00117435,0.00117435
11,130.876,0.92242,0.81559,0.81162,0.73767,0.7077,0.76312,0.55253,1.05108,1.20728,0.78301,0.00114606,0.00114606,0.00114606
12,141.707,0.91099,0.76632,0.81082,0.80557,0.76281,0.82869,0.55594,1.13928,1.08704,0.77966,0.00111776,0.00111776,0.00111776
13,152.221,0.89021,0.78261,0.8185,0.75119,0.67438,0.78718,0.56234,0.97986,1.21958,0.77664,0.00108947,0.00108947,0.00108947
14,163.085,0.84654,0.74161,0.80328,0.62003,0.72007,0.7216,0.55909,0.8738,1.61979,0.76696,0.00106118,0.00106118,0.00106118
15,173.82,0.85837,0.76409,0.80534,0.89152,0.7839,0.8866,0.6685,0.91767,0.82633,0.77107,0.00103288,0.00103288,0.00103288
16,184.508,0.85713,0.74863,0.80826,0.83419,0.81003,0.88784,0.68007,0.88738,0.83538,0.77008,0.00100459,0.00100459,0.00100459
17,195.343,0.86111,0.76036,0.80822,0.84711,0.7222,0.84335,0.63491,0.92568,0.97558,0.77429,0.000976293,0.000976293,0.000976293
18,205.812,0.86349,0.7376,0.80662,0.73951,0.73047,0.7941,0.61801,0.84055,1.5013,0.76954,0.000947999,0.000947999,0.000947999
19,216.076,0.83088,0.70959,0.80568,0.8232,0.70379,0.81782,0.63159,0.85271,1.14078,0.77132,0.000919704,0.000919704,0.000919704
20,226.78,0.81217,0.67499,0.80227,0.88358,0.79284,0.88583,0.6885,0.85232,0.7953,0.7724,0.00089141,0.00089141,0.00089141
21,237.53,0.82345,0.67205,0.80427,0.80658,0.77545,0.85707,0.65885,0.87215,0.97594,0.77115,0.000863116,0.000863116,0.000863116
22,248.416,0.79638,0.67298,0.80007,0.78143,0.73134,0.82776,0.64625,0.85356,1.01333,0.77108,0.000834822,0.000834822,0.000834822
23,259.515,0.78717,0.64923,0.79785,0.86163,0.74401,0.87742,0.65871,0.91189,0.8383,0.77206,0.000806528,0.000806528,0.000806528
24,270.706,0.80565,0.64994,0.79888,0.90479,0.77605,0.89025,0.66739,0.90285,0.79084,0.77279,0.000778233,0.000778233,0.000778233
25,281.632,0.79311,0.63617,0.80609,0.93559,0.79712,0.91979,0.71567,0.82337,0.71269,0.76808,0.000749939,0.000749939,0.000749939
26,292.327,0.79195,0.63491,0.80214,0.79785,0.72968,0.82034,0.63285,0.83783,1.35307,0.7676,0.000721645,0.000721645,0.000721645
27,302.991,0.7635,0.6321,0.80198,0.83077,0.75878,0.84807,0.65889,0.82708,0.95206,0.76968,0.000693351,0.000693351,0.000693351
28,313.303,0.74819,0.62191,0.79738,0.82916,0.67535,0.80367,0.63489,0.8299,1.23691,0.76667,0.000665057,0.000665057,0.000665057
